question,option_a,option_b,option_c,option_d,correct,explanation
"The clearest evidence that finance is operating strategically is:","Budgets are finalised earlier each year","Resource allocation visibly shifts toward stated strategic priorities rather than rolling forward 'last year plus 3%'","The strategy document is quoted in the monthly pack","Every project is approved provided it clears the hurdle rate","B","The real strategy is where money, people and time actually go. Rolling budgets forward keeps yesterday's strategy regardless of what the document says."
"Two projects have identical NPVs. The strategic lens says:","Prefer the one that strengthens where the business wins over the side bet, and say so","Reject both, since identical NPVs suggest modelling error","Approve both to be safe","They are equivalent — approve whichever is cheaper to run","A","NPV alone is blind to strategic fit. A project that builds the competitive moat is a different decision from one with the same NPV that doesn't."
"A good problem statement includes:","The answer you expect the analysis to reach","Every stakeholder's opinion recorded verbatim","The full history of the issue over five years","The decision to be made, the deadline, and the essential context","D","Decision, deadline, context — one sentence. It scopes the analysis and prevents solving the wrong problem well."
"Revenue fell because deliveries were late because a supplier changed spec after procurement switched to save 3%. The root-cause fix is:","Report the variance and move on","Discount prices to win the volume back","Increase the revenue forecast to compensate","Fix supplier qualification in procurement","D","Fix where the causal chain starts. Discounting treats the symptom and adds a margin problem to the volume problem."
"Why should 'do nothing' appear as an option?","To make the pack look thorough","Because it's a real choice with real costs, and pricing it gives every other option an honest baseline","Because decision-makers usually prefer it","It shouldn't — it signals indecision","B","Do-nothing is always available and never free. Pricing it anchors the comparison honestly."
"A pre-mortem asks:","'It's two years on and this decision failed — what killed it?'","'Who should be blamed if this fails?'","'What does the auditor think?'","'What is the NPV under the base case?'","A","Imagining the failure as already having happened licenses people to name risks they'd never raise as objections — and the mitigations strengthen the recommendation."
"Presenting three options with no recommendation is:","Required for governance reasons","Appropriate whenever the decision is difficult","Best practice — the choice belongs to the business","Unfinished partnering work: stakeholders may disagree with your view, but shouldn't have to guess it","D","Options without a view is analysis, not partnering. Commit to a recommendation with reasons; the decision still belongs to the decision-maker."
"A stakeholder pushes back hard on your analysis. The partner's first move is:","Withdraw the analysis to keep the relationship","Restate the conclusion more firmly","Ask 'what am I missing?' and genuinely examine their information","Escalate the disagreement immediately","C","Curiosity first. If their information is new and real, update visibly — that builds credibility. If not, hold your view calmly and document both positions for the decision-maker."
"The forecast, the target and the budget should be:","Three distinct numbers: the honest prediction, the aspiration, and the spending permission","One aligned number, to keep the organisation consistent","Whatever the board prefers to see","Set by negotiation between finance and each cost centre","A","Forcing one number to do all three jobs destroys the honest picture: forecasts get negotiated to protect targets and sandbagged to protect bonuses. Three words, three jobs."
"What converts a scenario exercise from a workshop into a management tool?","Extending the scenarios to a ten-year horizon","Presenting the scenarios to the board annually","Named triggers with pre-agreed, pre-approved responses and owners","More detailed narratives for each scenario","C","Scenarios with observable triggers and drawer-ready responses convert future panic into present procedure. Without triggers, scenarios are literature."
