question,option_a,option_b,option_c,option_d,correct,explanation
"Why do stories hold attention where raw information doesn't?","Stories are shorter and easier to remember than facts","Attention evolved to track uncertain outcomes that matter — and story is exactly that packaging","People are less intelligent than they used to be","Information is inherently boring","B","The brain budgets attention for stakes — consequential, unresolved outcomes. Story is the format built around stakes; a fact list has none."
"As machines absorb more utility work, the lasting premium shifts toward:","Meaning, identity and experience — the felt, human part of value","Lower prices across every category","Longer, more detailed product documentation","Whoever can do utility slightly faster","A","Utility is wanted invisible and cheap. What people freely overpay for — restaurants, brands, transformation — is meaning and identity, which automation doesn't supply."
"Which is an example of survival tension in its modern form?","The tight-chest feeling that everyone your age is financially ahead of you","Wanting to learn a language for an upcoming holiday","Enjoying a well-made documentary","Preferring one coffee brand over another","A","Modern survival tension is financial, social and opportunistic — threats to what you depend on. Falling behind registers as danger; preferences and hobbies don't."
"'Problem first, always' works because:","It fills time at the start of a presentation","Audiences enjoy hearing about problems","It makes the communicator look knowledgeable","Awareness of the problem creates the slot the solution fits into","D","A solution before its problem is furniture; after the problem, it's rescue. The problem gives the audience somewhere to put what follows."
"People defend beliefs like sports teams because:","They have carefully verified those beliefs against evidence","Beliefs function as tribal membership, and the mind treats belonging as survival","Arguing is inherently enjoyable for everyone","Beliefs are chosen randomly and defended out of habit","B","Membership registers as critical infrastructure, so attacks on the tribe's beliefs register as attacks on the self. That's identity tension."
"A message that mirrors a specific identity ('If you're a freelancer who dreads invoicing…') outperforms a general one because:","Being seen accurately is rare, so the mirrored person leans in and claims the message","General messages are grammatically weaker","Freelancers read more than other people","Specific messages are always shorter","A","Identity-mirroring messages get claimed, shared and defended by the identity they mirror. Messages addressed to everyone belong to no one."
"Which of these is NOT one of the three tensions?","Efficiency","Progress","Survival","Identity","A","The three tensions are survival, identity and progress. Efficiency is a utility concern — useful, but not what seizes human attention."
"Your deep, nuanced ideas keep landing flat with a stressed, struggling audience. The ladder of needs says:","Deep ideas only work in books","The audience is too shallow for the material","Acute lower needs narrow the mind — solve a felt, immediate problem first, then raise the ceiling","Repeat the same ideas more loudly and more often","C","The robust core of the ladder is that scarcity eats cognitive bandwidth. Meet the active tension first and earn the right to go deeper — the staircase is a heuristic, the narrowed bandwidth is measured."
"A case study reads: 'MegaCorp achieved 34% efficiency gains. Great tool! — Manager.' The five-part story audit says it's missing:","A bigger efficiency number and more testimonials from executives","Desire, obstacle, stakes and a turn — it's a testimonial (character + ending), not a story","The company's founding date and headquarters location","Nothing — case studies should be exactly this short","B","Character plus happy ending is a testimonial; it informs but doesn't transport. The drama — and the belief — live in the obstacle, the stakes and the turn."
"In brand storytelling, the customer should be cast as:","The obstacle the product overcomes","A statistic that proves the aggregate claim","The hero — with the brand as the guide who hands over the tools","The audience, watching the brand's achievements","C","Brands that star as the hero create spectators; brands that guide create protagonists — and protagonists act. Lead with one person, prove with the aggregate."
